name,ingredients
One-Pot Chicken Spinach Bacon Alfredo,"6 strips bacon, chopped, 2 boneless, skinless, chicken breasts, sliced, 5 oz spinach (140 g), 4 cloves garlic, chopped, 2 teaspoons kosher salt, 1 teaspoon freshly ground black pepper, 5 cups whole milk (1 ¼ L), 1 lb dried penne pasta (455 g), 1 cup grated parmesan cheese (110 g)"
One-Pan Honey Garlic Chicken,"6 bone-in, skin-on chicken thighs, salt, to taste, pepper, to taste, 1 tablespoon unsalted butter, 3 cloves garlic, 1 tablespoon brown sugar, ¼ cup honey (85 g), 1 teaspoon dried thyme, 1 teaspoon dried oregano, 1 lb green beans (450 g)"
Homemade Chicken Tikka Masala,"3 boneless, skinless chicken breasts, ½ cup plain yogurt (125 g), 2 tablespoons lemon juice, 6 cloves garlic, minced, 1 tablespoon minced ginger, 2 teaspoons salt, 2 teaspoons ground cumin, 2 teaspoons garam masala, 2 teaspoons paprika, 3 tablespoons oil, 1 large onion, finely chopped, 2 tablespoons minced ginger, 8 cloves garlic, minced, 2 teaspoons ground cumin, 2 teaspoons ground turmeric, 2 teaspoons ground coriander, 2 teaspoons paprika, 2 teaspoons chili powder, 2 teaspoons garam masala, 1 tablespoon tomato puree, 3 ½ cups tomato sauce (800 g), 1 ¼ cups water (300 mL), 1 cup heavy cream (250 mL), ¼ cup fresh cilantro (10 g), for garnish, cooked rice, for serving, naan bread, for serving, Bamboo or wooden skewer"
Weekday Meal-Prep Pesto Chicken & Veggies,"2 tablespoons olive oil, 4 boneless, skinless chicken thighs, salt, to taste, pepper, to taste, 1 lb green beans (455 g), 2 cups cherry tomatoes (400 g), halved, ½ cup basil pesto (115 g)"
Easy Beef And Broccoli,"1 lb flank steak (455 g), sliced into thin strips, 3 cloves garlic, minced, ½ teaspoon grated ginger, 2 tablespoons sesame oil, ⅓ cup low sodium soy sauce (80 mL), ¼ cup brown sugar (55 g), ¼ cup honey (85 g), 1 cup beef broth (240 mL), 4 cups broccoli floret (700 g), 2 tablespoons cornstarch, 2 tablespoons water, sesame seed, as desired"
Weekday Meal-prep Chicken Teriyaki Stir-fry,"3 chicken breasts, cubed, salt, to taste, pepper, to taste, 1 teaspoon garlic, crushed, ½ cup soy sauce (118 mL), ⅓ cup honey (113 g), 1 ½ tablespoons sesame seed, more to garnish, 1 onion, sliced, 2 small bell peppers, thinly sliced, 2 cups broccoli (500 g), 1 green onion, thinly sliced, white rice, cooked"
Easy Chicken Alfredo Penne,"2 tablespoons unsalted butter, 1 ½ lb boneless, skinless chicken breasts (680 g), cubed, ½ teaspoon dried oregano, ½ teaspoon dried basil, ½ teaspoon kosher salt, ½ teaspoon freshly ground black pepper, 16 oz penne pasta (455 g), cooked and drained, ¼ cup fresh parsley (10 g), ¼ cup shredded parmesan cheese (25 g), 2 tablespoons unsalted butter, 4 cloves garlic, minced, 3 tablespoons all-purpose flour, 2 cups milk (480 mL), ½ teaspoon kosher salt, ½ teaspoon freshly ground black pepper, ½ teaspoon dried oregano, ½ teaspoon dried basil, ½ cup shredded parmesan cheese (55 g)"
Easy Butter Chicken,"2 lb boneless, skinless chicken breast (910 g), cubed, salt, to taste, pepper, to taste, 2 teaspoons chili powder, divided, ½ teaspoon turmeric, 6 tablespoons unsalted butter, divided, 1 ½ cups diced yellow onion (225 g), 3 teaspoons garam masala, 1 teaspoon ground cumin, 1 teaspoon cayenne pepper, 1 tablespoon grated ginger, 3 cloves garlic, minced, 1 3-inch cinnamon stick, 14 oz tomato sauce (395 g), 1 cup water (240 mL), 1 cup heavy cream (240 mL), cooked rice, for serving, chopped fresh cilantro, for garnish"
Hasselback Chicken,"¼ cup fresh spinach (50 g), ¼ cup ricotta cheese (50 g), 2 chicken breasts, ¼ cup cheddar cheese (20 g), 1 teaspoon paprika, salt, to taste, pepper, to taste"
One Skillet Ground Beef Stroganoff,"1 tablespoon olive oil, 8 oz white button mushroom (225 g), sliced, 2 tablespoons unsalted butter, ½ yellow onion, diced, 1 lb ground beef (455 g), 2 teaspoons garlic powder, 3 tablespoons all-purpose flour, 1 teaspoon paprika, ¼ cup dry sherry (60 mL), 4 cups low-sodium beef broth (945 mL), 1 ½ teaspoons kosher salt, ½ teaspoon freshly ground black pepper, 4 cups dried egg noodles (400 g), ½ cup sour cream (115 g), 2 tablespoons finely chopped fresh parsley"
"Crispy, Creamy Chicken Cordon Bleu","4 boneless, skinless chicken breasts, salt, to taste, pepper, to taste, 1 tablespoon garlic powder, 1 tablespoon onion powder, 16 slices swiss cheese, ½ lb ham (225 g), thinly sliced, peanut oil, or vegetable oil, for frying, 1 cup all-purpose flour (125 g), 4 eggs, beaten, 2 cups panko bread crumbs (100 g), 3 tablespoons butter, 2 cloves garlic, minced, 3 tablespoons all-purpose flour, 2 cups milk (480 mL), ¼ cup dijon mustard (60 g), 1 cup shredded parmesan cheese (100 g), salt, to taste, pepper, to taste"
Creamy Chicken Piccata,"2 boneless, skinless chicken breasts, salt, to taste, pepper, to taste, ⅔ cup all-purpose flour (80 g), 4 tablespoons olive oil, ⅓ cup dry white wine (80 mL), 2 tablespoons unsalted butter, 2 cloves garlic, chopped, 2 tablespoons caper, 3 tablespoons lemon juice, 1 ½ cups chicken stock (360 mL), ⅓ cup heavy cream (80 mL), 2 tablespoons fresh flat-leaf parsley, chopped, 8 oz angel hair pasta (225 g), cooked, for serving"
Sweet & Sour Chicken,"1 lb boneless, skinless chicken breast (455 g), salt, to taste, pepper, to taste, ½ cup cornstarch (60 g), 2 eggs, beaten, oil, to fry, 1 tablespoon oil, ½ tablespoon garlic, minced, 1 bell pepper, diced, ¾ cup cider vinegar (180 mL), 1 tablespoon soy sauce, ¼ cup ketchup (55 g), ½ cup sugar (100 g), scallion, chopped, sesame seed"
One-Pot Chicken Alfredo,"1 tablespoon olive oil, 2 chicken breasts, cubed, 3 cloves garlic cloves, minced, 14 oz chicken broth (395 mL), 1 cup heavy cream (235 mL), ½ lb penne pasta (227 g), uncooked, 1 ½ cups grated parmesan cheese (165 g), parsley, optional, for garnish"
Cajun Chicken Alfredo,"3 tablespoons olive oil, 3 cloves garlic, chopped, 1 cup cooked sausage (140 g), sliced, 2 chicken breasts, thinly sliced, 1 tablespoon cajun seasoning, 2 cups heavy cream (480 mL), 4 cups penne pasta (400 g), cooked, 1 cup parmesan cheese (110 g), ¼ cup fresh parsley (10 g)"
Creamy Lemon Chicken,"2 boneless, skinless chicken breasts, salt, to taste, pepper, to taste, 1 cup flour (125 g), 1 ½ tablespoons butter, 1 tablespoon olive oil, 1 ¼ cups chicken stock (295 mL), 1 cup heavy cream (235 mL), 1 teaspoon salt, 1 teaspoon pepper, 1 lemon, juiced, 1 lemon, sliced, fresh parsley, for garnish"
Asparagus-Stuffed Chicken Breast,"3 boneless, skinless chicken breasts, salt, to taste, pepper, to taste, 1 tablespoon lemon  zest, 9 asparagus, ends trimmed, 3 slices provolone cheese, 1 teaspoon garlic powder, 1 teaspoon paprika, 1 teaspoon olive oil"
One-Pan Garlic Chicken Pesto Pasta,"1 tablespoon canola oil, 2 boneless, skinless chicken breasts, sliced into 1/2 inch (2cm) strips, 2 tablespoons chopped garlic, ½ tablespoon kosher salt, ½ tablespoon freshly ground black pepper, ¾ cup heavy cream (175 mL), ½ cup grated parmesan cheese (55 g), plus more for garnish, ¼ cup pesto (55 g), 3 cups penne pasta (600 g), cooked and drained, ¾ cup cherry tomatoes (150 g), halved, chopped fresh basil, for garnish"
Easy Chicken Piccata,"1 large, boneless, skinless chicken breast, salt, to taste, pepper, to taste, flour, as needed, 3 tablespoons butter, ½ cup chicken broth (120 mL), 1 lemon, Juiced, 2 tablespoons caper"
Creamy Lemon Butter Chicken,"6 bone-in, skin-on chicken thighs, 1 tablespoon paprika, salt, to taste, pepper, to taste, 3 tablespoons unsalted butter, 3 cloves garlic, ½ cup heavy cream (120 mL), ¼ cup parmesan cheese (30 g), 1 lemon, juiced, 2 cups fresh baby spinach (85 g), 1 teaspoon dried thyme, 1 cup chicken broth (240 mL)"
One-Pan Sausage And Veggies,"2 russet potatoes, peeled and diced, 2 zucchinis, diced, 2 yellow squashes, diced, 1 red bell pepper, seeded and diced, ½ medium yellow onion, diced, 2 large links sausage, sliced crosswise, 2 tablespoons olive oil, 2 cloves garlic, minced, 14.5 oz canned diced tomatoes (425 g), drained, kosher salt, to taste, freshly ground black pepper, to taste"
Cheesy Chicken And Broccoli Pasta,"2 tablespoons olive oil, 2 chicken breasts, cut into 1 inch (2cm) pieces, salt, to taste, pepper, to taste, ½ cup yellow onion (75 g), about half an onion, diced, 2 cloves garlic, about 1 tablespoon, minced, 2 cups chicken broth (480 mL), 3 cups water (720 mL), 16 oz pasta shells (455 g), 4 cups broccoli (1 kg), or one head of broccoli, ½ teaspoon cayenne powder, ¼ teaspoon nutmeg, 1 cup milk (240 mL), 2 cups shredded cheddar cheese (200 g)"
Lemon Chicken And Asparagus Stir-Fry,"½ tablespoon olive oil, 2 boneless, skinless chicken breasts, sliced, 1 teaspoon kosher salt, ½ teaspoon freshly ground black pepper, 1 tablespoon minced garlic, 4 oz asparagus (100 g), ½ lemon, zested, plus more for garnish, ½ lemon, juiced, 3 tablespoons soy sauce, cooked rice, for serving"
One-Pot Chicken And Mushroom Pasta,"3 tablespoons olive oil, 1 ½ lb chicken breast (750 g), cubed, ½ yellow onion, diced, salt, to taste, pepper, to taste, 2 cups cremini mushroom (150 g), 3 cloves garlic, minced, 1 teaspoon dried thyme, 2 teaspoons paprika, 4 cups chicken broth (960 mL), 1 cup heavy cream (240 mL), 1 lb farfalle pasta (500 g), 5 oz spinach (150 g), 1 cup parmesan cheese (110 g)"
Garlic Brown Sugar Chicken,"4 chicken thighs, salt, to taste, pepper, to taste, 6 cloves garlic, minced, 1 small onion, chopped, ½ cup brown sugar (110 g), ½ cup chicken broth (120 mL), 1 tablespoon fresh thyme, minced, 1 tablespoon fresh parsley, minced"
One-Pot Ground Beef Stroganoff,"2 tablespoons olive oil, 2 cups mushrooms (150 g), sliced, ½ cup onion (75 g), 2 cloves garlic, minced, 1 lb ground beef (455 g), 2 teaspoons paprika, 4 cups beef stock (945 mL), 8 oz egg noodles, uncooked, ½ cup sour cream (115 g), 1 tablespoon cornstarch slurry, fresh parsley, for garnish, salt, to taste, pepper, to taste"
Slow Cooker Beef and Broccoli,"2 lb sirloin steak (905 g), or boneless beef chuck roast, sliced thin, 1 cup beef broth (240 mL), ½ cup low sodium soy sauce (120 mL), ¼ cup brown sugar (55 g), 1 tablespoon sesame oil, 4 cloves garlic, minced, 4 tablespoons cornstarch, 4 tablespoons water, 1 head broccoli, cut into florets, white rice, cooked, for serving"
Garlic Herb-Stuffed Pork Chops,"16 oz cream cheese (455 g), softened, 1 teaspoon black pepper, freshly ground, 1 tablespoon garlic powder, ¼ cup chopped fresh chives (10 g), 1 cup shredded provolone cheese (100 g), 4 strips bacon, cooked and crumbled, 8 boneless pork chops, salt, to taste, pepper, to taste, 2 cups flour (250 g), 3 eggs, beaten, 2 cups panko bread crumbs (100 g), 4 tablespoons canola oil"
Healthier Chicken Alfredo Pasta,"1 tablespoon olive oil, 2 boneless, skinless chicken breasts, cubed, 1 ½ teaspoons kosher salt, divided, ¾ teaspoon freshly ground black pepper, divided, 3 cloves garlic, minced, 2 tablespoons all-purpose flour, 1 cup chicken broth (240 mL), 1 cup skim milk (240 mL), or milk of choice, 2 cups spinach (80 g), 2 cups whole grain penne pasta (400 g), cooked, ¼ cup grated parmesan cheese (30 g), optional"
Garlic Butter Steak,"1 ribeye steak, 2-inch (5-cm)-thick, preferably USDA Prime, kosher salt, to taste, freshly ground black pepper, to taste, 3 tablespoons canola oil, 3 tablespoons unsalted butter, 3 cloves garlic, peeled and smashed, 2 sprigs fresh rosemary, 3 sprigs fresh thyme"
Creamy Lemon Garlic Chicken,"4 chicken breasts, 2 tablespoons coconut oil, divided, 1 cup chicken broth (235 mL), ½ cup greek yogurt (120 g), ½ lemon, juiced, 3 cloves garlic cloves, minced, 2 teaspoons oregano, 6 oz spinach (170 g), salt, to taste, pepper, to taste"
Simple Chili Chicken,"2 chicken breasts, 1 teaspoon salt, ½ teaspoon pepper, 1 egg, beaten, ¾ cup flour (100 g), 1 green pepper, sliced, 1 red pepper, sliced, rice, to serve, 3 cloves garlic cloves, crushed, 1 red chilli, chopped, 3 tablespoons soy sauce, 2 tablespoons tomato puree, ½ cup water (100 mL)"
One-Pot Swedish Meatball Pasta,"1 lb ground beef (455 g), ½ cup seasoned bread crumbs (55 g), ½ onion, finely minced, 1 egg, 1 tablespoon kosher salt, divided, or to taste, 1 tablespoon pepper, divided, 2 tablespoons canola oil, 2 cups beef broth (480 mL), 2 cups milk (480 mL), 1 tablespoon worcestershire sauce, 4 cups egg noodle (400 g), 1 cup shredded parmesan cheese (110 g), ½ cup fresh parsley (15 g), chopped"
Chicken & Biscuits Bake,"6 tablespoons butter, 1 onion, chopped, ½ cup flour (60 g), 3 cups chicken broth (720 mL), 1 teaspoon salt, 1 teaspoon pepper, 1 cup heavy cream (240 mL), 2 ½ cups frozen mixed vegetable (455 g), 1 rotisserie chicken, shredded, 2 tubes biscuit dough, 8 biscuits each"
Korean-Style BBQ Beef,"1 ½ lb ribeye steak (700 g), or any other well-marbled, tender cut, 1 onion, 1/2 roughly chopped and 1/2 thinly sliced, 3 cloves garlic cloves, ½ pear, peeled and roughly chopped, 3 spring onions, 1 cut into pieces and 2 sliced into 1/4-inch rounds, 3 tablespoons brown sugar, 1 teaspoon black pepper, ⅓ cup soy sauce (80 g), 3 tablespoons sesame oil, 1 tablespoon canola oil, 1 teaspoon sesame seeds, for serving, 2 cups cooked rice (400 g), for serving, Banchan (Korean side dishes), for serving (optional)"
One-Pot Spicy Sausage And Broccoli Pasta,"2 tablespoons olive oil, 1 lb spicy italian sausage (455 g), casing removed, 1 lb broccoli florets (455 g), ½ teaspoon red pepper flakes, 1 teaspoon kosher salt, ½ teaspoon ground black pepper, 1 lb rigatoni (455 g), 4 cups chicken stock (960 mL), ½ cup grated parmesan cheese (60 g), plus more garnish"
Chicken and Broccoli Alfredo,"salt, to taste, 8 oz penne pasta (225 g), 2 cups broccoli floret (300 g), 2 tablespoons olive oil, 2 boneless, skinless chicken breasts, cubed, pepper, to taste, ¼ cup butter (55 g), 3 cloves garlic, minced, 1 cup heavy cream (235 mL), 1 teaspoon salt, ⅛ teaspoon nutmeg, ¼ teaspoon black pepper, 1 ½ cups grated parmesan cheese (165 g), plus extra for garnish, red pepper flake, to garnish"
One-Pot Ham & Potato Soup,"2 strips bacon, cut into 1-inch (2 cm) pieces, 1 cup onion (150 g), diced, 1 cup carrot (120 g), diced, 1 cup celery (225 g), diced, 3 tablespoons flour, 2 cups ham (300 g), cooked and cubed, 2 potatoes, cubed, 1 teaspoon fresh thyme, 1 teaspoon black pepper, 6 cups chicken broth (1.4 L), 2 bay leaves, 2 cups heavy cream (480 mL)"
Chicken Cacciatore,"1 ½ lb chicken thighs (680 g), kosher salt, to taste, freshly ground black pepper, to taste, 3 tablespoons olive oil, divided, 8 oz baby bella mushrooms (225 g), sliced, ½ medium yellow onion, sliced, 1 red bell pepper, seeded and sliced, 2 tablespoons tomato paste, 4 cloves garlic, minced, 1 teaspoon dried oregano, ½ teaspoon red pepper flakes, ½ teaspoon dried rosemary, ½ cup red wine (120 g), 14 oz diced tomatoes (400 g), 1 cup chicken stock (240 g), ¼ cup finely chopped fresh parsley (10 g)"
"Zesty Lime Chicken, Black Beans, And Rice","4 bone-in, skin-on chicken thighs, salt, to taste, pepper, to taste, 2 tablespoons olive oil, ½ onion, diced, 1 cup uncooked white rice (200 g), 4 cloves garlic, minced, 1 ½ cups chicken broth (355 mL), 1 can black beans, drained, ½ cup chopped fresh cilantro (20 g), plus more for garnish, 1 lime, juiced"
Elevated Hamburger Helper,"8 oz bacon (225 g), chopped, 1 small yellow onion, chopped, ½ cup minced red bell pepper (50 g), 1 cup shredded carrots (100 g), 2 cloves garlic, grated, 1 lb lean ground beef (425 g), kosher salt, to taste, 1 tablespoon smoked paprika, 2 tablespoons tomato paste, preferable double-concentrated, 14.5 oz petite diced tomatoes, 3 cups beef stock (720 mL), 2 cups whole milk (480 mL), 1 lb uncooked pasta shells (425 g), or short noodles of choice, 2 cups shredded smoked gouda cheese (200 g), 2 cups shredded cheddar cheese (200 g), finely chopped fresh parsley, for garnish"
Chinese Chicken Fried Rice,"½ cup oil (100 mL), 4 eggs, 1 pinch salt, ½ lb boneless, skinless chicken breast (200 g), sliced, 1 ¾ cups rice (400 g), cooked, 5 oz mixed vegetable (150 g), ¼ cup light soy sauce (50 mL), 1 oz spring onion (30 g)"
Low-Carb Mediterranean Chicken And Tomato By Kevin Curry,"1 ½ lb boneless skinless chicken thighs (680 g), 1 teaspoon sea salt, divided, ½ teaspoon ground black pepper, divided, 1 tablespoon olive oil, 1 tablespoon minced garlic, 2 teaspoons dried thyme, 1 teaspoon dried rosemary, ½ cup chicken stock (120 mL), ⅓ cup chopped sun-dried tomatoes in oil (65 g), 1 cup heavy cream (240 mL), or full-fat coconut milk, ½ cup grated parmesan cheese (60 g), 2 tablespoons finely chopped fresh parsley, for garnish, steamed cauliflower rice, for serving"
3-Ingredient Teriyaki Chicken,"2 lb boneless, skinless chicken thighs (910 g), cubed, 1 cup soy sauce (240 mL), ½ cup brown sugar (110 g)"
Chicken Bacon Broccoli Alfredo,"2 tablespoons canola oil, 2 boneless, skinless chicken breasts, diced, ½ teaspoon salt, ½ teaspoon pepper, 2 cloves garlic, chopped, 2 cups broccoli floret (500 g), 2 cups milk (480 mL), 1 cup shredded parmesan cheese (110 g), ¼ cup fresh parsley (10 g), chopped, 4 strips bacon, cooked, crumbled, ½ lb spaghetti (225 g), cooked"
Chicken Teriyaki Fried Rice,"2 boneless, skinless chicken breasts, cubed, 1 cup teriyaki sauce (240 mL), 2 teaspoons oil, ½ cup onion (75 g), diced, 1 tablespoon garlic, minced, ½ cup carrot (60 g), diced, 1 cup broccoli floret (150 g), 3 eggs, beaten, 3 cups brown rice (690 g), cooked, 2 tablespoons soy sauce, 1 tablespoon sesame oil, pepper, to taste"
Chicken Spinach Alfredo Rotini Pasta,"2 tablespoons oil, 2 chicken breasts, thinly sliced, 3 cloves garlic, minced, 6 strips bacon, cooked, chopped, 5 oz spinach (140 g), 2 teaspoons salt, 2 teaspoons pepper, 2 cups heavy cream (470 mL), 1 ¼ cups rotini pasta (250 g), cooked, 1 cup parmesan cheese (100 g), ½ cup fresh parsley (15 g), chopped"
One-Pan Beef And Broccoli Stir-fry,"1 lb flank steak (455 g), cubed, 1 teaspoon salt, 1 teaspoon pepper, 2 cups broccoli (300 g), diced, ½ cup soy sauce (120 mL), ¼ cup honey (85 g), 2 cloves garlic, 1 teaspoon ginger, 1 tablespoon sesame seed"
Cheesy Chicken Broccoli Bake,"1 cup long grain rice (200 g), ¼ teaspoon black pepper, ½ teaspoon onion powder, 1 can cream of chicken, 1 cup shredded cheddar cheese (100 g), 2 cups broccoli (300 g), diced, 1 ½ cups chicken broth (360 mL), cheddar cheese, for topping"
Creamy Chicken Bacon Pesto Pasta,"6 strips bacon, sliced, 2 boneless, skinless chicken breasts, sliced, 2 teaspoons salt, 1 teaspoon pepper, 1 teaspoon garlic powder, 2 onions, sliced, 4 cloves garlic, minced, 5 oz spinach (140 g), 5 cups milk (1.2 L), 1 lb fettuccine (455 g), ½ cup pesto (110 g), 1 cup parmesan cheese (110 g), plus more for serving, fresh parsley, chopped, for serving"
Chicken Fajita Quesadillas,"3 breasts chicken breast, 2 tablespoons taco seasoning, 2 tablespoons vegetable oil, 1 onion, sliced, 4 cloves garlic cloves, sliced, 3 bell peppers, sliced, 1 lime, juiced, 8 tortillas, 2 tablespoons butter, 2 cups shredded cheese (220 g), mexican blend"
Slow Cooker Chicken & Biscuits,"3 chicken breasts, diced, salt, to taste, pepper, to taste, 2 cups broccoli florets (300 g), 2 cups baby carrots (240 g), diced, 21 oz condensed cream of chicken soup (595 mL), 1 can refrigerated biscuit"
Slow Cooker Shredded Chicken Tacos,"16 oz salsa (455 g), 2 limes, juiced, 1 package taco seasoning, 3 tablespoons fresh cilantro, chopped, 3 lb chicken breast (1.3 kg), salt, to taste, pepper, to taste"
One-Pot Chicken Chow Mein,"⅓ cup soy sauce (80 mL), 1 tablespoon ginger, minced, 1 tablespoon garlic, minced, 1 tablespoon oyster sauce, 1 tablespoon sesame oil, 1 tablespoon sugar, ¼ teaspoon red pepper flakes, pepper, to taste, 2 chicken breasts, cubed, ½ onion, julienned, 3 stalks celery, sliced, 4 carrots, julienned, 3 cups cabbage (300 g), shredded, 2 packages ramen noodle, without seasoning packet, 1 ½ cups chicken broth (360 mL), scallion"
One-Pot Cheeseburger Pasta,"1 lb ground beef (455 g), 1 cup onion (150 g), diced, 1 tablespoon garlic, minced, 1 teaspoon salt, ½ teaspoon pepper, 2 tablespoons worcestershire sauce, 2 tablespoons ketchup, 4 cups beef broth (945 mL), 16 oz fusilli pasta (455 g), 3 cups shredded cheddar cheese (300 g), ½ cup milk (120 mL), green onion, sliced, to serve"
Southwest Chicken Alfredo Pasta Bake,"8 oz fusilli pasta (225 g), 8 oz corn (225 g), drained, 8 oz black beans (225 g), drained & rinsed, 2 cups cooked chicken (250 g), shredded, 16 oz alfredo sauce (455 g), 1 tablespoon taco seasoning, 1 cup monterey jack cheese (100 g), 1 cup cheddar cheese (100 g), fresh cilantro, chopped"
Buffalo Chicken Sliders,"12 rolls dinner rolls, 1 pack, 1 ½ cups shredded mozzarella cheese (150 g), 3 cups rotisserie chicken (375 g), shredded, ¾ cup hot sauce (175 mL), ½ cup ranch dressing (120 g), 2 tablespoons butter, melted"
Bacon Guacamole Chicken Bombs,"2 ripe avocados, ½ white onion, finely chopped, ½ tomato, chopped, 2 tablespoons chopped fresh cilantro, ½ tablespoon kosher salt, plus more to taste, 2 tablespoons fresh lime juice, 4 boneless, skinless chicken breasts, black pepper, to taste, 8 strips bacon, 1 tablespoon canola oil"
One Pan Chicken And Veggies,"2 boneless, skinless chicken breasts, 1 large sweet potato, diced, 1 head broccoli, or large bag of broccoli florets, 4 cloves garlic, minced, 2 tablespoons fresh rosemary, 1 tablespoon paprika, salt, to taste, pepper, to taste, 2 tablespoons olive oil"
